ID,Pathogen,PathogenTaxID,PHEIC risk,Disease_name,HostTaxID,Host_clean,PathogenClass,PathogenOrder,PathogenFamily,PathogenGenus,HostPhylum,HostClass,HostFamily,HostOrder,DetectionMethod,MainSource
B1,klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),229073,Amphiprion nigripes,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,CHORDATA,ACTINOPTERYGII,POMACENTRIDAE,NOT ASSIGNED,PCR/Sequencing,CLOVER
B1,klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9901,Bison bison,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,CHORDATA,MAMMALIA,BOVIDAE,ARTIODACTYLA,Isolation/Observation,CLOVER
B1,klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9913,Bos taurus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,CHORDATA,MAMMALIA,BOVIDAE,ARTIODACTYLA,PCR/Sequencing,CLOVER
B1,klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9612,Canis lupus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,CHORDATA,MAMMALIA,CANIDAE,CARNIVORA,PCR/Sequencing,CLOVER
B1,klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),94186,Civettictis civetta,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,CHORDATA,MAMMALIA,VIVERRIDAE,CARNIVORA,Isolation/Observation,CLOVER
B1,klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9796,Equus caballus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,CHORDATA,MAMMALIA,EQUIDAE,PERISSODACTYLA,PCR/Sequencing,CLOVER
B1,klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),30602,Eulemur macaco,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,CHORDATA,MAMMALIA,LEMURIDAE,PRIMATES,Isolation/Observation,CLOVER
B1,klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),859983,Eulemur rufus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,CHORDATA,MAMMALIA,LEMURIDAE,PRIMATES,Isolation/Observation,CLOVER
B1,klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9031,Gallus gallus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,CHORDATA,AVES,PHASIANIDAE,GALLIFORMES,PCR/Sequencing,CLOVER
B1,klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),499232,Gorilla beringei,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,CHORDATA,MAMMALIA,HOMINIDAE,PRIMATES,Isolation/Observation,CLOVER
B1,klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9606,Homo sapiens,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,NA,NA,NA,NA,PCR/Sequencing; Isolation/Observation,CLOVER
B1,klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9716,Mirounga angustirostris,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,CHORDATA,MAMMALIA,PHOCIDAE,CARNIVORA,Isolation/Observation,CLOVER
B1,klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),8128,Oreochromis niloticus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,CHORDATA,ACTINOPTERYGII,CICHLIDAE,CICHLIFORMES,PCR/Sequencing,CLOVER
B1,klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),36229,Papio ursinus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,CHORDATA,MAMMALIA,CERCOPITHECIDAE,PRIMATES,Isolation/Observation,CLOVER
B1,klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9720,Phoca vitulina,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,CHORDATA,MAMMALIA,PHOCIDAE,CARNIVORA,Isolation/Observation,CLOVER
B1,klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),34888,Phocarctos hookeri,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,CHORDATA,MAMMALIA,OTARIIDAE,CARNIVORA,Isolation/Observation,CLOVER
B1,klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),285011,Pteroglossus viridis,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,CHORDATA,AVES,RAMPHASTIDAE,PICIFORMES,Isolation/Observation,CLOVER
B1,klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9521,Saimiri sciureus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,CHORDATA,MAMMALIA,CEBIDAE,PRIMATES,Isolation/Observation,CLOVER
B1,klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9823,Sus scrofa,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,CHORDATA,MAMMALIA,SUIDAE,ARTIODACTYLA,PCR/Sequencing,CLOVER
